Protocol,Equipment/Systems,Plant Type,Library/Tools,Azure Services,Azure Multitenancy Challenges,Estimated Plant Size (MW),"Multitenancy Scenario (1 Tenant, Small Plant)","Multitenancy Scenario (10 Tenants, Small Plant)","Multitenancy Scenario (10 Tenants, Large Plant)",PoC Environment,PoC Tools,PoC Challenges,PoC Testing Outcome
Modbus TCP,"Inverters, Meters",Solar,"pymodbus, modbus-tk","Azure App Service, Azure Functions",Isolating data streams for tenants,50,300-500 USD/month,2000-2500 USD/month,5000-7000 USD/month,Local Machine (Dockerized Flask API),"ModScan, pymodbus",Ensure Modbus device availability,Verify Modbus register reads/writes
Modbus TCP,Wind Turbines,Solar,"pymodbus, modbus-tk","Azure App Service, Azure Functions",Isolating data streams for tenants,50,300-500 USD/month,2000-2500 USD/month,5000-7000 USD/month,Local Machine (Dockerized Flask API),"ModScan, pymodbus",Ensure Modbus device availability,Verify Modbus register reads/writes
MQTT,IoT Sensors,Solar,"paho-mqtt, mqtt","Azure IoT Hub, Azure Functions",Managing unique MQTT topics for tenants,100,500-800 USD/month,3000-4000 USD/month,7000-10000 USD/month,Raspberry Pi with MQTT Broker,"Mosquitto Broker, MQTT Explorer",Configure MQTT broker and test topics,Test message publishing and subscribing
MQTT,IoT Sensors,Wind,"paho-mqtt, mqtt","Azure IoT Hub, Azure Functions",Managing unique MQTT topics for tenants,200,500-800 USD/month,3000-4000 USD/month,7000-10000 USD/month,Raspberry Pi with MQTT Broker,"Mosquitto Broker, MQTT Explorer",Configure MQTT broker and test topics,Test message publishing and subscribing
OPC UA,SCADA Systems,Solar,"opcua, node-opcua","Azure Kubernetes Service, Azure App Service",Ensuring secure OPC UA sessions per tenant,50,800-1200 USD/month,5000-7000 USD/month,10000-15000 USD/month,VM with OPC UA Server Simulation,Prosys OPC UA Simulation Server,SCADA data simulation and client setup,Verify node value reads and writes
OPC UA,Wind Turbines,Wind,"opcua, Eclipse Milo","Azure Kubernetes Service, Azure App Service",Ensuring secure OPC UA sessions per tenant,200,800-1200 USD/month,5000-7000 USD/month,10000-15000 USD/month,VM with OPC UA Server Simulation,Prosys OPC UA Simulation Server,SCADA data simulation and client setup,Verify node value reads and writes
IEC 61850,Substation Equipment,Solar,libiec61850,Azure Kubernetes Service (AKS),Dynamic routing for IEC 61850 devices,500,1500-1800 USD/month,8000-10000 USD/month,15000-20000 USD/month,Substation Test Bench with IEC 61850 Simulator,"IEDScout, libiec61850 Test Scripts",Complex IED behavior simulation,Test GOOSE messages and client-server communication
IEC 61850,Substation Equipment,Wind,libiec61850,Azure Kubernetes Service (AKS),Dynamic routing for IEC 61850 devices,1000,1500-1800 USD/month,8000-10000 USD/month,15000-20000 USD/month,Substation Test Bench with IEC 61850 Simulator,"IEDScout, libiec61850 Test Scripts",Complex IED behavior simulation,Test GOOSE messages and client-server communication
DNP3,Remote Monitoring,Solar,opendnp3,Azure Kubernetes Service (AKS),Tenant-specific DNP3 node management,500,1500-1800 USD/month,8000-10000 USD/month,15000-20000 USD/month,Local SCADA Test Environment,Triangle Microworks DNP3 Test Suite,DNP3 compliance testing for edge cases,Simulate SCADA commands and responses
DNP3,SCADA Systems,Wind,opendnp3,Azure Kubernetes Service (AKS),Tenant-specific DNP3 node management,1000,1500-1800 USD/month,8000-10000 USD/month,15000-20000 USD/month,Local SCADA Test Environment,Triangle Microworks DNP3 Test Suite,DNP3 compliance testing for edge cases,Simulate SCADA commands and responses
